timestamp,a_cal,d_cal,c_cal,T_cal,J_final
2026-05-17 10:33:00.278830,0.5308254186257756,0.08000039365999999,0.8000019682999999,1.015134809608937,0.337386912965199
2026-05-17 10:33:01.278830,0.5308254186257756,0.08000039365999999,0.8000019682999999,1.015134809608937,0.337386912965199
2026-05-17 10:33:02.280436,0.5308053096187063,0.08000011809799999,0.8000005904899999,1.0151100417005894,0.337386912965199
2026-05-17 10:33:03.296456,0.5308053096187063,0.08000011809799999,0.8000005904899999,1.0151100417005894,0.337386912965199
2026-05-17 10:33:04.296456,0.5308053096187063,0.08000011809799999,0.8000005904899999,1.0151100417005894,0.337386912965199
2026-05-17 10:33:05.298581,0.5308053096187063,0.08000011809799999,0.8000005904899999,1.0151100417005894,0.337386912965199
2026-05-17 10:33:06.298581,0.5308053096187063,0.08000011809799999,0.8000005904899999,1.0151100417005894,0.337386912965199
2026-05-17 10:33:07.300567,0.5308053096187063,0.08000011809799999,0.8000005904899999,1.0151100417005894,0.337386912965199
2026-05-17 10:33:08.300694,0.5308053096187063,0.08000011809799999,0.8000005904899999,1.0151100417005894,0.337386912965199
2026-05-17 10:33:09.300755,0.5308053096187063,0.08000011809799999,0.8000005904899999,1.0151100417005894,0.337386912965199
2026-05-17 10:33:10.300755,0.5308053096187063,0.08000011809799999,0.8000005904899999,1.0151100417005894,0.337386912965199
2026-05-17 10:33:11.300755,0.5308053096187063,0.08000011809799999,0.8000005904899999,1.0151100417005894,0.337386912965199
2026-05-17 10:33:12.302933,0.5307992769165855,0.08000003542939998,0.8000001771469999,1.0151026113280852,0.337386912965199
2026-05-17 10:33:13.302933,0.5307992769165855,0.08000003542939998,0.8000001771469999,1.0151026113280852,0.337386912965199
2026-05-17 10:33:14.302933,0.5307992769165855,0.08000003542939998,0.8000001771469999,1.0151026113280852,0.337386912965199
2026-05-17 10:33:15.302933,0.5307992769165855,0.08000003542939998,0.8000001771469999,1.0151026113280852,0.337386912965199
2026-05-17 10:33:16.303075,0.5307992769165855,0.08000003542939998,0.8000001771469999,1.0151026113280852,0.337386912965199
2026-05-17 10:33:17.303075,0.5307992769165855,0.08000003542939998,0.8000001771469999,1.0151026113280852,0.337386912965199
2026-05-17 10:33:18.303075,0.5307992769165855,0.08000003542939998,0.8000001771469999,1.0151026113280852,0.337386912965199
2026-05-17 10:33:19.307644,0.5307992769165855,0.08000003542939998,0.8000001771469999,1.0151026113280852,0.337386912965199
2026-05-17 10:33:20.307645,0.5307992769165855,0.08000003542939998,0.8000001771469999,1.0151026113280852,0.337386912965199
